Instance Details:
Number of factories: 60
Number of CDs: 80
Number of clients: 200

Factory capacities (si):
[ 674  687  921  905  946  704  611  988  669  990  685 1120 1014  889
  914  949  849 1163  688  606  749 1024  943  962  748  690 1118 1148
  744 1026  694  993  997  945  765 1053 1153  612  803  666 1075 1165
  643  790  887  620 1060  942  874 1069 1090  686  987  739  862  940
  687  982  676  740]

CD capacities (tk):
[812 543 810 626 802 587 693 657 578 804 560 872 649 758 720 848 613 832
 552 712 733 690 774 506 610 766 544 555 774 890 835 751 869 858 894 549
 559 683 759 546 504 639 834 878 639 765 589 792 524 503 556 756 758 569
 792 722 697 534 564 622 882 592 789 545 538 548 586 527 682 811 846 751
 737 514 898 865 626 705 666 773]

Client demands (dj):
[202 178 185 171 198 176 172 163 239 232 176 196 239 246 164 181 162 175
 179 248 226 205 214 206 157 192 192 204 201 238 156 168 209 210 224 192
 187 206 175 236 195 236 182 215 209 247 249 206 183 230 191 150 160 180
 242 178 232 159 163 230 181 175 184 219 234 237 203 163 161 232 185 232
 213 199 230 212 176 246 165 161 158 187 225 217 177 241 230 247 240 246
 150 174 222 174 231 237 163 163 191 180 240 233 174 221 172 180 249 238
 173 154 160 214 218 181 163 201 232 238 202 161 230 231 170 175 160 183
 187 197 196 248 204 226 237 172 197 208 177 243 213 206 191 159 215 166
 169 222 208 200 189 156 229 169 169 177 218 180 161 173 208 240 237 224
 173 219 206 153 238 222 217 248 191 209 150 162 210 233 158 189 153 165
 242 177 215 234 171 186 201 210 183 164 200 196 239 222 186 200 242 183
 159 155]

Transport costs (factory -> CD) (cik):
[[31 36 53 ... 33 40 50]
 [50 46 41 ... 59 53 30]
 [42 36 32 ... 52 48 48]
 ...
 [58 32 47 ... 44 57 58]
 [41 38 36 ... 31 38 59]
 [37 59 51 ... 34 56 57]]

Transport costs (CD -> client) (ckj):
[[39 43 68 ... 46 63 66]
 [66 58 48 ... 62 61 60]
 [37 36 47 ... 58 67 38]
 ...
 [37 59 55 ... 53 35 49]
 [57 49 45 ... 56 35 68]
 [61 52 61 ... 45 39 51]]

Optimal solution found:
Objective value: 2589839.0

Gurobi iterations: 859.0
Gurobi runtime (seconds): 0.1099998950958252
Factory -> CD flows (xik):
xik[0,51] = 674.0
xik[1,12] = 649.0
xik[1,79] = 38.0
xik[2,5] = 204.0
xik[2,55] = 183.0
xik[2,57] = 534.0
xik[3,79] = 735.0
xik[4,34] = 228.0
xik[4,49] = 139.0
xik[4,69] = 119.0
xik[4,78] = 460.0
xik[5,72] = 704.0
xik[6,39] = 66.0
xik[6,63] = 545.0
xik[7,19] = 712.0
xik[9,8] = 578.0
xik[9,51] = 82.0
xik[9,75] = 108.0
xik[10,25] = 61.0
xik[11,21] = 510.0
xik[11,24] = 610.0
xik[12,46] = 589.0
xik[12,48] = 425.0
xik[13,62] = 789.0
xik[14,0] = 708.0
xik[14,78] = 206.0
xik[15,20] = 733.0
xik[16,23] = 506.0
xik[16,29] = 3.0
xik[16,32] = 340.0
xik[17,7] = 180.0
xik[17,28] = 774.0
xik[18,6] = 73.0
xik[18,31] = 550.0
xik[18,37] = 65.0
xik[19,2] = 606.0
xik[20,10] = 560.0
xik[22,2] = 130.0
xik[22,42] = 813.0
xik[23,4] = 534.0
xik[23,33] = 428.0
xik[24,38] = 581.0
xik[24,68] = 24.0
xik[27,15] = 180.0
xik[27,58] = 361.0
xik[27,70] = 15.0
xik[27,76] = 592.0
xik[28,53] = 569.0
xik[29,5] = 383.0
xik[30,17] = 139.0
xik[30,27] = 555.0
xik[31,3] = 162.0
xik[31,70] = 831.0
xik[32,16] = 493.0
xik[32,40] = 504.0
xik[34,43] = 342.0
xik[34,67] = 423.0
xik[35,22] = 774.0
xik[36,59] = 291.0
xik[36,66] = 586.0
xik[37,75] = 612.0
xik[38,64] = 538.0
xik[39,35] = 549.0
xik[39,74] = 117.0
xik[40,45] = 406.0
xik[40,47] = 669.0
xik[41,34] = 384.0
xik[41,74] = 781.0
xik[42,60] = 643.0
xik[44,54] = 487.0
xik[44,65] = 400.0
xik[45,6] = 620.0
xik[46,9] = 804.0
xik[47,33] = 430.0
xik[47,37] = 512.0
xik[48,18] = 275.0
xik[49,49] = 364.0
xik[49,77] = 705.0
xik[50,44] = 422.0
xik[50,60] = 185.0
xik[51,11] = 345.0
xik[52,61] = 592.0
xik[53,32] = 58.0
xik[53,73] = 514.0
xik[54,18] = 277.0
xik[54,56] = 585.0
xik[55,39] = 480.0
xik[56,30] = 371.0
xik[56,52] = 316.0
xik[57,25] = 677.0
xik[57,54] = 305.0
xik[58,72] = 25.0
xik[59,36] = 559.0

CD -> Client flows (ykj):
ykj[0,93] = 174.0
ykj[0,100] = 178.0
ykj[0,134] = 197.0
ykj[0,141] = 159.0
ykj[2,107] = 238.0
ykj[2,128] = 149.0
ykj[2,133] = 172.0
ykj[2,153] = 177.0
ykj[3,173] = 162.0
ykj[4,25] = 192.0
ykj[4,47] = 60.0
ykj[4,99] = 79.0
ykj[4,151] = 169.0
ykj[4,157] = 34.0
ykj[5,13] = 246.0
ykj[5,28] = 201.0
ykj[5,108] = 140.0
ykj[6,10] = 176.0
ykj[6,23] = 206.0
ykj[6,99] = 101.0
ykj[6,174] = 210.0
ykj[7,105] = 180.0
ykj[8,55] = 11.0
ykj[8,126] = 187.0
ykj[8,147] = 200.0
ykj[8,155] = 180.0
ykj[9,8] = 239.0
ykj[9,34] = 224.0
ykj[9,130] = 141.0
ykj[9,190] = 200.0
ykj[10,79] = 92.0
ykj[10,89] = 246.0
ykj[10,167] = 222.0
ykj[11,57] = 159.0
ykj[11,60] = 181.0
ykj[11,139] = 5.0
ykj[12,102] = 174.0
ykj[12,140] = 156.0
ykj[12,189] = 164.0
ykj[12,199] = 155.0
ykj[15,53] = 180.0
ykj[16,1] = 68.0
ykj[16,84] = 177.0
ykj[16,169] = 248.0
ykj[17,137] = 139.0
ykj[18,14] = 164.0
ykj[18,96] = 113.0
ykj[18,154] = 192.0
ykj[18,171] = 83.0
ykj[19,7] = 163.0
ykj[19,76] = 130.0
ykj[19,125] = 183.0
ykj[19,130] = 63.0
ykj[19,162] = 173.0
ykj[20,17] = 141.0
ykj[20,61] = 175.0
ykj[20,123] = 175.0
ykj[20,180] = 242.0
ykj[21,116] = 115.0
ykj[21,132] = 237.0
ykj[21,176] = 158.0
ykj[22,38] = 175.0
ykj[22,103] = 221.0
ykj[22,115] = 189.0
ykj[22,148] = 189.0
ykj[23,64] = 112.0
ykj[23,104] = 172.0
ykj[23,193] = 222.0
ykj[24,17] = 34.0
ykj[24,44] = 209.0
ykj[24,111] = 67.0
ykj[24,150] = 100.0
ykj[24,195] = 200.0
ykj[25,21] = 205.0
ykj[25,35] = 171.0
ykj[25,68] = 161.0
ykj[25,186] = 201.0
ykj[27,69] = 232.0
ykj[27,119] = 161.0
ykj[27,160] = 155.0
ykj[27,175] = 7.0
ykj[28,15] = 181.0
ykj[28,86] = 230.0
ykj[28,87] = 247.0
ykj[28,100] = 62.0
ykj[28,181] = 54.0
ykj[29,4] = 3.0
ykj[30,20] = 135.0
ykj[30,78] = 40.0
ykj[30,191] = 196.0
ykj[31,11] = 196.0
ykj[31,110] = 160.0
ykj[31,140] = 35.0
ykj[31,149] = 156.0
ykj[31,164] = 3.0
ykj[32,43] = 215.0
ykj[32,48] = 183.0
ykj[33,0] = 195.0
ykj[33,88] = 44.0
ykj[33,98] = 191.0
ykj[33,156] = 161.0
ykj[33,165] = 153.0
ykj[33,197] = 114.0
ykj[34,81] = 187.0
ykj[34,112] = 50.0
ykj[34,177] = 189.0
ykj[34,185] = 186.0
ykj[35,63] = 219.0
ykj[35,65] = 213.0
ykj[35,116] = 117.0
ykj[36,30] = 156.0
ykj[36,118] = 202.0
ykj[36,139] = 201.0
ykj[37,5] = 42.0
ykj[37,127] = 197.0
ykj[37,144] = 169.0
ykj[37,152] = 169.0
ykj[38,50] = 191.0
ykj[38,73] = 199.0
ykj[38,170] = 191.0
ykj[39,29] = 238.0
ykj[39,192] = 239.0
ykj[39,197] = 69.0
ykj[40,5] = 134.0
ykj[40,142] = 215.0
ykj[40,150] = 129.0
ykj[40,154] = 26.0
ykj[42,41] = 36.0
ykj[42,51] = 150.0
ykj[42,54] = 242.0
ykj[42,56] = 232.0
ykj[42,178] = 153.0
ykj[43,168] = 217.0
ykj[43,184] = 125.0
ykj[44,66] = 203.0
ykj[44,163] = 219.0
ykj[45,58] = 157.0
ykj[45,106] = 249.0
ykj[46,24] = 157.0
ykj[46,39] = 236.0
ykj[46,88] = 196.0
ykj[47,62] = 184.0
ykj[47,77] = 246.0
ykj[47,196] = 239.0
ykj[48,4] = 195.0
ykj[48,49] = 230.0
ykj[49,0] = 7.0
ykj[49,16] = 162.0
ykj[49,72] = 213.0
ykj[49,131] = 121.0
ykj[51,27] = 204.0
ykj[51,67] = 163.0
ykj[51,90] = 150.0
ykj[51,138] = 113.0
ykj[51,171] = 126.0
ykj[52,160] = 82.0
ykj[52,183] = 234.0
ykj[53,18] = 179.0
ykj[53,122] = 170.0
ykj[53,136] = 12.0
ykj[53,158] = 208.0
ykj[54,31] = 168.0
ykj[54,46] = 109.0
ykj[54,58] = 6.0
ykj[54,64] = 122.0
ykj[54,92] = 222.0
ykj[54,136] = 165.0
ykj[55,3] = 171.0
ykj[55,115] = 12.0
ykj[56,75] = 212.0
ykj[56,97] = 163.0
ykj[56,187] = 210.0
ykj[57,12] = 239.0
ykj[57,79] = 69.0
ykj[57,175] = 226.0
ykj[58,40] = 195.0
ykj[58,143] = 166.0
ykj[59,131] = 105.0
ykj[59,194] = 186.0
ykj[60,6] = 172.0
ykj[60,32] = 209.0
ykj[60,71] = 232.0
ykj[60,182] = 215.0
ykj[61,52] = 160.0
ykj[61,82] = 225.0
ykj[61,124] = 160.0
ykj[61,128] = 47.0
ykj[62,47] = 146.0
ykj[62,83] = 217.0
ykj[62,120] = 230.0
ykj[62,172] = 150.0
ykj[62,184] = 46.0
ykj[63,74] = 142.0
ykj[63,113] = 181.0
ykj[63,145] = 222.0
ykj[64,22] = 214.0
ykj[64,70] = 185.0
ykj[64,157] = 139.0
ykj[65,95] = 237.0
ykj[65,114] = 163.0
ykj[66,9] = 232.0
ykj[66,121] = 231.0
ykj[66,181] = 123.0
ykj[67,46] = 140.0
ykj[67,78] = 125.0
ykj[67,80] = 158.0
ykj[68,65] = 24.0
ykj[69,94] = 119.0
ykj[70,45] = 247.0
ykj[70,59] = 230.0
ykj[70,74] = 88.0
ykj[70,91] = 174.0
ykj[70,137] = 104.0
ykj[70,196] = 3.0
ykj[72,33] = 210.0
ykj[72,42] = 182.0
ykj[72,76] = 46.0
ykj[72,85] = 241.0
ykj[72,96] = 50.0
ykj[73,2] = 185.0
ykj[73,20] = 91.0
ykj[73,166] = 238.0
ykj[74,55] = 167.0
ykj[74,135] = 208.0
ykj[74,138] = 100.0
ykj[74,159] = 240.0
ykj[74,188] = 183.0
ykj[75,1] = 110.0
ykj[75,19] = 248.0
ykj[75,109] = 154.0
ykj[75,146] = 208.0
ykj[76,161] = 224.0
ykj[76,164] = 203.0
ykj[76,179] = 165.0
ykj[77,36] = 187.0
ykj[77,37] = 206.0
ykj[77,41] = 200.0
ykj[77,94] = 112.0
ykj[78,35] = 21.0
ykj[78,117] = 238.0
ykj[78,129] = 248.0
ykj[78,198] = 159.0
ykj[79,26] = 192.0
ykj[79,101] = 233.0
ykj[79,108] = 33.0
ykj[79,111] = 147.0
ykj[79,112] = 168.0
