Instance Details:
Number of factories: 20
Number of CDs: 30
Number of clients: 50

Factory capacities (si):
[350 264 232 291 292 221 220 346 316 304 264 293 242 324 374 335 234 304
 383 276]

CD capacities (tk):
[195 159 294 245 267 278 168 166 292 178 177 205 258 222 254 217 165 194
 229 174 298 278 279 255 262 295 260 231 160 259]

Client demands (dj):
[75 53 89 80 74 66 76 92 92 59 96 90 70 83 84 69 52 91 94 76 77 56 75 50
 79 74 91 93 76 93 73 71 51 89 67 83 79 99 94 53 81 81 83 61 62 82 57 85
 92 60]

Transport costs (factory -> CD) (cik):
[[22 12 22 24 16 15 11 19 15 12 22 22 14 23 12 24 19 10 20 23 18 16 17 23
  22 13 23 18 12 21]
 [17 12 14 10 10 14 20 18 17 17 23 12 21 10 13 23 18 24 18 23 10 14 19 21
  18 20 22 20 11 17]
 [13 21 10 18 16 11 20 10 14 20 16 13 22 14 14 24 23 21 20 17 18 24 12 15
  10 17 17 11 15 16]
 [11 21 12 22 23 15 14 12 19 21 20 14 17 22 24 18 19 10 16 10 15 14 11 10
  20 11 14 15 15 21]
 [10 17 16 13 22 19 19 21 19 15 23 21 19 17 19 20 14 12 17 24 21 14 17 14
  21 11 10 23 14 21]
 [16 21 23 15 15 19 23 21 18 20 24 13 19 19 21 12 22 15 23 20 18 19 15 10
  13 10 20 15 14 14]
 [12 11 21 19 17 19 23 12 21 18 19 22 10 13 24 22 12 12 12 19 16 19 11 21
  18 11 11 11 24 17]
 [15 24 11 21 10 16 13 12 22 23 16 17 16 18 19 16 11 14 23 16 21 19 12 23
  18 14 21 19 17 18]
 [16 10 11 15 19 22 12 23 18 10 22 16 16 18 14 24 14 23 17 17 14 15 16 21
  19 18 18 18 10 21]
 [20 24 18 11 20 23 17 16 10 22 21 15 16 17 18 15 24 17 23 11 14 18 17 10
  15 14 15 15 22 22]
 [16 18 16 17 22 13 16 16 16 15 16 16 22 17 16 16 18 15 10 24 14 19 21 16
  16 21 16 10 18 11]
 [18 11 14 12 23 15 18 15 24 15 10 13 17 10 13 10 19 13 13 24 23 16 18 18
  16 21 22 16 16 15]
 [10 17 14 10 22 20 17 13 10 20 11 21 24 15 20 15 21 18 21 18 20 24 21 17
  11 14 18 17 10 15]
 [17 17 20 22 12 14 11 20 22 21 11 12 24 22 12 14 17 19 21 11 14 19 11 11
  23 14 13 10 19 21]
 [13 12 11 22 14 14 21 19 13 22 21 11 15 21 17 24 15 10 19 12 12 21 16 10
  22 22 14 15 10 23]
 [10 19 21 18 15 18 20 17 17 14 13 16 13 17 10 15 17 17 22 18 18 20 13 17
  10 11 23 23 23 20]
 [23 21 15 16 24 19 17 10 21 17 16 16 11 14 21 12 13 22 21 12 12 19 23 21
  20 15 24 12 17 13]
 [10 15 20 13 12 19 18 16 17 21 10 17 18 20 13 16 16 13 23 12 16 14 22 24
  13 22 20 23 22 13]
 [18 16 16 22 20 21 21 20 19 12 11 22 24 18 15 22 11 15 19 18 19 16 21 13
  12 16 18 14 23 10]
 [19 18 13 15 16 21 10 22 17 23 13 21 19 11 11 16 16 11 22 19 11 12 24 12
  10 20 14 19 10 15]]

Transport costs (CD -> client) (ckj):
[[19 14 16 ... 26 24 16]
 [19 13 24 ... 14 21 19]
 [27 22 12 ... 14 13 23]
 ...
 [23 27 24 ... 20 23 19]
 [24 12 16 ... 24 25 20]
 [12 29 20 ... 24 13 15]]

Optimal solution found:
Objective value: 85414.0

Gurobi iterations: 251.0
Gurobi runtime (seconds): 0.03000020980834961
Factory -> CD flows (xik):
xik[0,17] = 183.0
xik[1,3] = 245.0
xik[1,13] = 6.0
xik[1,20] = 13.0
xik[2,2] = 89.0
xik[2,7] = 81.0
xik[2,24] = 62.0
xik[3,19] = 174.0
xik[4,26] = 238.0
xik[5,25] = 214.0
xik[6,12] = 182.0
xik[7,4] = 267.0
xik[7,16] = 75.0
xik[8,1] = 159.0
xik[8,9] = 59.0
xik[9,8] = 21.0
xik[10,18] = 85.0
xik[10,27] = 179.0
xik[11,10] = 37.0
xik[11,13] = 191.0
xik[11,15] = 65.0
xik[12,8] = 242.0
xik[13,27] = 1.0
xik[14,28] = 40.0
xik[15,14] = 160.0
xik[17,0] = 195.0
xik[17,10] = 30.0
xik[18,29] = 259.0
xik[19,6] = 156.0
xik[19,28] = 120.0

CD -> Client flows (ykj):
ykj[0,5] = 66.0
ykj[0,25] = 50.0
ykj[0,36] = 79.0
ykj[1,29] = 93.0
ykj[1,31] = 66.0
ykj[2,2] = 89.0
ykj[3,3] = 80.0
ykj[3,10] = 62.0
ykj[3,24] = 79.0
ykj[3,25] = 24.0
ykj[4,15] = 4.0
ykj[4,19] = 76.0
ykj[4,27] = 93.0
ykj[4,38] = 94.0
ykj[6,7] = 92.0
ykj[6,9] = 59.0
ykj[6,31] = 5.0
ykj[7,41] = 81.0
ykj[8,18] = 94.0
ykj[8,20] = 77.0
ykj[8,48] = 92.0
ykj[9,28] = 59.0
ykj[10,34] = 67.0
ykj[12,8] = 92.0
ykj[12,11] = 90.0
ykj[13,13] = 28.0
ykj[13,14] = 84.0
ykj[13,47] = 85.0
ykj[14,37] = 99.0
ykj[14,43] = 61.0
ykj[15,15] = 65.0
ykj[16,22] = 75.0
ykj[17,12] = 70.0
ykj[17,39] = 53.0
ykj[17,49] = 60.0
ykj[18,10] = 34.0
ykj[18,32] = 51.0
ykj[19,21] = 43.0
ykj[19,23] = 50.0
ykj[19,40] = 81.0
ykj[20,21] = 13.0
ykj[24,44] = 62.0
ykj[25,4] = 74.0
ykj[25,35] = 83.0
ykj[25,46] = 57.0
ykj[26,30] = 73.0
ykj[26,42] = 83.0
ykj[26,45] = 82.0
ykj[27,17] = 91.0
ykj[27,33] = 89.0
ykj[28,1] = 53.0
ykj[28,13] = 55.0
ykj[28,16] = 52.0
ykj[29,0] = 75.0
ykj[29,6] = 76.0
ykj[29,26] = 91.0
ykj[29,28] = 17.0
